公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,24796078,苑裡世界分公司,苗栗縣苑裡鎮世界路1段91-13號,1,1040806,1100505,120.6569757,24.4396314
16740494,全聯實業股份有限公司,24796491,板橋莒光分公司,新北市板橋區莒光路217號地下1樓及227號地下1樓,1,1040813,1090103,121.4742533,25.0227097
16740494,全聯實業股份有限公司,24797421,嘉義梅山分公司,嘉義縣梅山鄉梅北村中山路332-5號,1,1040826,1090214,120.5539279,23.5856279
16740494,全聯實業股份有限公司,24797436,茄萣仁愛分公司,高雄市茄萣區仁愛路2段167號,1,1040826,1080708,120.1847228,22.89725
16740494,全聯實業股份有限公司,24797484,中壢後興分公司,桃園市中壢區後興路1段168號,1,1040827,       ,121.2473534,24.9417166
16740494,全聯實業股份有限公司,24797626,台中河南分公司,臺中市西屯區河南路4段26號,1,1040901,1120208,120.6360069,24.1596685
16740494,全聯實業股份有限公司,24798619,關廟五甲分公司,臺南市關廟區南雄路1段1001號,1,1040917,1110905,120.3320195,22.9637053
16740494,全聯實業股份有限公司,24798688,三峽北大分公司,新北市樹林區學勤路209、211號,1,1040918,       ,121.3778641,24.9477189
16740494,全聯實業股份有限公司,24798929,內湖德安分公司,臺北市內湖區成功路4段30巷40號地下,1,1040922,1060802,121.5923591,25.0829726
16740494,全聯實業股份有限公司,24799954,台中龍門分公司,臺中市西屯區潮洋里黎明路2段866號,1,1041014,1090513,120.6339801,24.1624801
16740494,全聯實業股份有限公司,24800158,花蓮瑞穗分公司,花蓮縣瑞穗鄉中正北路1段50-1、50-2、50-3、52號,3,1041015,       ,121.4113308,23.5205619
16740494,全聯實業股份有限公司,24800642,台中青海分公司,臺中市西屯區河南路2段466號,1,1041026,1100902,120.6435275,24.1709346
16740494,全聯實業股份有限公司,24800761,台中國安分公司,臺中市西屯區國安一路128號,1,1041027,1101103,120.612994,24.1915547
16740494,全聯實業股份有限公司,24801017,平鎮環南分公司,桃園市平鎮區環南路3段67、69、71、73號,1,1041030,1130812,121.2184833,24.9403815
